vendor_id,category,feature,level,notes
brevo,Email Marketing,Drag-drop editor,full,
brevo,Email Marketing,A/B testing,full,
brevo,Email Marketing,Personalization,full,Dynamic content blocks
brevo,SMS Marketing,Bulk SMS,full,
brevo,SMS Marketing,Two-way SMS,full,
brevo,WhatsApp,WhatsApp campaigns,full,Native integration
brevo,Push Notifications,Web push,full,
brevo,Automation,Visual workflow builder,full,
brevo,Automation,Behavioral triggers,full,
brevo,Segmentation,Dynamic segments,full,
brevo,Analytics,Campaign reports,full,
brevo,Analytics,Revenue attribution,partial,
brevo,AI Features,Content assistant,partial,AI subject lines
brevo,Lead Scoring,Scoring rules,partial,
brevo,E-commerce,Cart abandonment,full,
brevo,Forms & Landing Pages,Form builder,full,
brevo,A/B Testing,Email A/B,full,
brevo,Product Recommendations,Recommendations,partial,
splio,Email Marketing,Drag-drop editor,full,
splio,Email Marketing,A/B testing,full,
splio,Email Marketing,Personalization,full,
splio,SMS Marketing,Bulk SMS,full,
splio,Automation,Visual workflow builder,full,
splio,Automation,Behavioral triggers,full,
splio,Segmentation,Dynamic segments,full,
splio,Analytics,Campaign reports,full,
splio,AI Features,Content assistant,none,
splio,Lead Scoring,Scoring rules,full,CRM focused
splio,E-commerce,Cart abandonment,full,
splio,Forms & Landing Pages,Form builder,partial,
splio,A/B Testing,Email A/B,full,
splio,Product Recommendations,Recommendations,partial,
actito,Email Marketing,Drag-drop editor,full,
actito,Email Marketing,A/B testing,full,
actito,Email Marketing,Personalization,full,
actito,SMS Marketing,Bulk SMS,full,
actito,Automation,Visual workflow builder,full,
actito,Automation,Behavioral triggers,full,
actito,Segmentation,Dynamic segments,full,
actito,Analytics,Campaign reports,full,
actito,AI Features,Content assistant,partial,
actito,Lead Scoring,Scoring rules,full,
actito,E-commerce,Cart abandonment,full,
actito,Forms & Landing Pages,Form builder,full,
actito,A/B Testing,Email A/B,full,
actito,Product Recommendations,Recommendations,partial,
emarsys,Email Marketing,Drag-drop editor,full,
emarsys,Email Marketing,A/B testing,full,
emarsys,Email Marketing,Personalization,full,AI-powered
emarsys,SMS Marketing,Bulk SMS,full,
emarsys,Push Notifications,Web push,full,
emarsys,Automation,Visual workflow builder,full,
emarsys,Automation,Behavioral triggers,full,
emarsys,Segmentation,Dynamic segments,full,Advanced segmentation
emarsys,Analytics,Campaign reports,full,
emarsys,Analytics,Revenue attribution,full,
emarsys,AI Features,Content assistant,full,SAP AI
emarsys,AI Features,Predictive analytics,full,
emarsys,Lead Scoring,Scoring rules,full,
emarsys,E-commerce,Cart abandonment,full,
emarsys,E-commerce,Product catalog sync,full,
emarsys,Forms & Landing Pages,Form builder,full,
emarsys,A/B Testing,Email A/B,full,
emarsys,A/B Testing,Multivariate testing,full,
emarsys,Product Recommendations,Recommendations,full,AI recommendations
braze,Email Marketing,Drag-drop editor,full,
braze,Email Marketing,A/B testing,full,
braze,Email Marketing,Personalization,full,Real-time
braze,SMS Marketing,Bulk SMS,full,
braze,Push Notifications,Mobile push,full,Industry-leading
braze,Push Notifications,Web push,full,
braze,In-App Messaging,In-app messages,full,Core strength
braze,Automation,Visual workflow builder,full,Canvas
braze,Automation,Behavioral triggers,full,Real-time
braze,Segmentation,Dynamic segments,full,Advanced
braze,Analytics,Campaign reports,full,
braze,Analytics,Revenue attribution,full,
braze,AI Features,Content assistant,full,
braze,AI Features,Predictive analytics,full,
braze,Lead Scoring,Scoring rules,partial,
braze,E-commerce,Cart abandonment,full,
braze,Forms & Landing Pages,Form builder,partial,
braze,A/B Testing,Email A/B,full,
braze,A/B Testing,Multivariate testing,full,
braze,Product Recommendations,Recommendations,full,
np6,Email Marketing,Drag-drop editor,full,
np6,Email Marketing,A/B testing,full,
np6,Email Marketing,Personalization,full,
np6,SMS Marketing,Bulk SMS,full,
np6,Automation,Visual workflow builder,partial,Basic workflows
np6,Automation,Behavioral triggers,partial,
np6,Segmentation,Dynamic segments,full,
np6,Analytics,Campaign reports,full,
np6,Analytics,Deliverability tracking,full,Core strength
np6,AI Features,Content assistant,none,
np6,Lead Scoring,Scoring rules,partial,
np6,E-commerce,Cart abandonment,partial,
np6,Forms & Landing Pages,Form builder,partial,
np6,A/B Testing,Email A/B,full,
np6,Product Recommendations,Recommendations,none,
selligent,Email Marketing,Drag-drop editor,full,
selligent,Email Marketing,A/B testing,full,
selligent,Email Marketing,Personalization,full,
selligent,SMS Marketing,Bulk SMS,full,
selligent,Push Notifications,Mobile push,full,
selligent,Automation,Visual workflow builder,full,
selligent,Automation,Behavioral triggers,full,
selligent,Segmentation,Dynamic segments,full,
selligent,Analytics,Campaign reports,full,
selligent,AI Features,Content assistant,partial,
selligent,Lead Scoring,Scoring rules,full,
selligent,E-commerce,Cart abandonment,full,
selligent,Forms & Landing Pages,Form builder,full,
selligent,A/B Testing,Email A/B,full,
selligent,Product Recommendations,Recommendations,partial,
salesforce-marketing-cloud,Email Marketing,Drag-drop editor,full,
salesforce-marketing-cloud,Email Marketing,A/B testing,full,
salesforce-marketing-cloud,Email Marketing,Personalization,full,Einstein AI
salesforce-marketing-cloud,SMS Marketing,Bulk SMS,full,
salesforce-marketing-cloud,Push Notifications,Mobile push,full,
salesforce-marketing-cloud,Social Media,Social publishing,full,
salesforce-marketing-cloud,Advertising,Ad audience sync,full,
salesforce-marketing-cloud,Automation,Visual workflow builder,full,Journey Builder
salesforce-marketing-cloud,Automation,Behavioral triggers,full,
salesforce-marketing-cloud,Segmentation,Dynamic segments,full,
salesforce-marketing-cloud,Analytics,Campaign reports,full,
salesforce-marketing-cloud,Analytics,Revenue attribution,full,
salesforce-marketing-cloud,AI Features,Content assistant,full,Einstein
salesforce-marketing-cloud,AI Features,Predictive analytics,full,Einstein
salesforce-marketing-cloud,Lead Scoring,Scoring rules,full,
salesforce-marketing-cloud,E-commerce,Cart abandonment,full,
salesforce-marketing-cloud,E-commerce,Product catalog sync,full,
salesforce-marketing-cloud,Forms & Landing Pages,Form builder,full,
salesforce-marketing-cloud,A/B Testing,Email A/B,full,
salesforce-marketing-cloud,A/B Testing,Multivariate testing,full,
salesforce-marketing-cloud,Product Recommendations,Recommendations,full,Einstein
adobe-campaign,Email Marketing,Drag-drop editor,full,
adobe-campaign,Email Marketing,A/B testing,full,
adobe-campaign,Email Marketing,Personalization,full,
adobe-campaign,SMS Marketing,Bulk SMS,full,
adobe-campaign,Automation,Visual workflow builder,full,Complex workflows
adobe-campaign,Automation,Behavioral triggers,full,
adobe-campaign,Segmentation,Dynamic segments,full,Advanced
adobe-campaign,Analytics,Campaign reports,full,
adobe-campaign,AI Features,Content assistant,partial,Adobe Sensei
adobe-campaign,Lead Scoring,Scoring rules,full,
adobe-campaign,E-commerce,Cart abandonment,full,
adobe-campaign,Forms & Landing Pages,Form builder,full,
adobe-campaign,A/B Testing,Email A/B,full,
adobe-campaign,Product Recommendations,Recommendations,partial,
scale,Email Marketing,Drag-drop editor,full,
scale,Email Marketing,A/B testing,full,
scale,Email Marketing,Personalization,full,CDP-powered
scale,Automation,Visual workflow builder,full,
scale,Automation,Behavioral triggers,full,
scale,Segmentation,Dynamic segments,full,CDP segmentation
scale,Analytics,Campaign reports,full,
scale,AI Features,Content assistant,partial,
scale,Lead Scoring,Scoring rules,full,
scale,E-commerce,Cart abandonment,partial,
scale,Forms & Landing Pages,Form builder,partial,
scale,A/B Testing,Email A/B,full,
scale,Product Recommendations,Recommendations,partial,
1by1,Email Marketing,Drag-drop editor,full,
1by1,Email Marketing,A/B testing,full,
1by1,Email Marketing,Personalization,full,1-to-1 personalization
1by1,Automation,Visual workflow builder,partial,
1by1,Automation,Behavioral triggers,partial,
1by1,Segmentation,Dynamic segments,full,Individual targeting
1by1,Analytics,Campaign reports,full,
1by1,AI Features,Content assistant,none,
1by1,Lead Scoring,Scoring rules,partial,
1by1,E-commerce,Cart abandonment,partial,
1by1,Forms & Landing Pages,Form builder,partial,
1by1,A/B Testing,Email A/B,full,
1by1,Product Recommendations,Recommendations,full,Core feature
pardot,Email Marketing,Drag-drop editor,full,
pardot,Email Marketing,A/B testing,full,
pardot,Email Marketing,Personalization,full,
pardot,WhatsApp,WhatsApp campaigns,partial,
pardot,Automation,Visual workflow builder,full,Engagement Studio
pardot,Automation,Behavioral triggers,full,
pardot,Segmentation,Dynamic segments,full,
pardot,Analytics,Campaign reports,full,
pardot,Analytics,B2B analytics,full,
pardot,AI Features,Content assistant,full,Einstein
pardot,AI Features,Predictive analytics,full,Einstein lead scoring
pardot,Lead Scoring,Scoring rules,full,Core B2B feature
pardot,E-commerce,Cart abandonment,none,B2B focused
pardot,Forms & Landing Pages,Form builder,full,
pardot,A/B Testing,Email A/B,full,
pardot,Product Recommendations,Recommendations,none,
hubspot,Email Marketing,Drag-drop editor,full,
hubspot,Email Marketing,A/B testing,full,
hubspot,Email Marketing,Personalization,full,
hubspot,SMS Marketing,Bulk SMS,partial,Add-on
hubspot,Automation,Visual workflow builder,full,
hubspot,Automation,Behavioral triggers,full,
hubspot,Segmentation,Dynamic segments,full,
hubspot,Analytics,Campaign reports,full,
hubspot,Analytics,Revenue attribution,full,
hubspot,AI Features,Content assistant,full,HubSpot AI
hubspot,AI Features,Predictive analytics,partial,
hubspot,Lead Scoring,Scoring rules,full,
hubspot,E-commerce,Cart abandonment,partial,
hubspot,Forms & Landing Pages,Form builder,full,
hubspot,A/B Testing,Email A/B,full,
hubspot,Product Recommendations,Recommendations,partial,
dolist,Email Marketing,Drag-drop editor,full,
dolist,Email Marketing,A/B testing,full,
dolist,Email Marketing,Personalization,partial,
dolist,Automation,Visual workflow builder,partial,Basic
dolist,Automation,Behavioral triggers,partial,
dolist,Segmentation,Dynamic segments,partial,
dolist,Analytics,Campaign reports,full,
dolist,Analytics,Deliverability tracking,full,Core strength
dolist,AI Features,Content assistant,none,
dolist,Lead Scoring,Scoring rules,none,
dolist,E-commerce,Cart abandonment,partial,
dolist,Forms & Landing Pages,Form builder,partial,
dolist,A/B Testing,Email A/B,full,
dolist,Product Recommendations,Recommendations,none,
dialog-insight,Email Marketing,Drag-drop editor,full,
dialog-insight,Email Marketing,A/B testing,full,
dialog-insight,Email Marketing,Personalization,partial,
dialog-insight,SMS Marketing,Bulk SMS,full,
dialog-insight,Automation,Visual workflow builder,partial,
dialog-insight,Automation,Behavioral triggers,partial,
dialog-insight,Segmentation,Dynamic segments,full,Easy segmentation
dialog-insight,Analytics,Campaign reports,full,
dialog-insight,AI Features,Content assistant,none,
dialog-insight,Lead Scoring,Scoring rules,partial,
dialog-insight,E-commerce,Cart abandonment,partial,
dialog-insight,Forms & Landing Pages,Form builder,partial,
dialog-insight,A/B Testing,Email A/B,full,
dialog-insight,Product Recommendations,Recommendations,none,
acoustic,Email Marketing,Drag-drop editor,full,
acoustic,Email Marketing,A/B testing,full,
acoustic,Email Marketing,Personalization,full,
acoustic,SMS Marketing,Bulk SMS,full,
acoustic,Automation,Visual workflow builder,full,
acoustic,Automation,Behavioral triggers,full,
acoustic,Segmentation,Dynamic segments,full,
acoustic,Analytics,Campaign reports,full,
acoustic,AI Features,Content assistant,partial,IBM heritage
acoustic,Lead Scoring,Scoring rules,full,
acoustic,E-commerce,Cart abandonment,full,
acoustic,Forms & Landing Pages,Form builder,full,
acoustic,A/B Testing,Email A/B,full,
acoustic,Product Recommendations,Recommendations,partial,
magnews,Email Marketing,Drag-drop editor,full,
magnews,Email Marketing,A/B testing,full,
magnews,Email Marketing,Personalization,partial,
magnews,SMS Marketing,Bulk SMS,full,
magnews,Automation,Visual workflow builder,partial,
magnews,Automation,Behavioral triggers,partial,
magnews,Segmentation,Dynamic segments,partial,
magnews,Analytics,Campaign reports,full,
magnews,AI Features,Content assistant,none,
magnews,Lead Scoring,Scoring rules,none,
magnews,E-commerce,Cart abandonment,partial,
magnews,Forms & Landing Pages,Form builder,partial,
magnews,A/B Testing,Email A/B,full,
magnews,Product Recommendations,Recommendations,none,
blueshift,Email Marketing,Drag-drop editor,full,
blueshift,Email Marketing,A/B testing,full,
blueshift,Email Marketing,Personalization,full,AI-powered
blueshift,SMS Marketing,Bulk SMS,full,
blueshift,Push Notifications,Mobile push,full,
blueshift,Automation,Visual workflow builder,full,
blueshift,Automation,Behavioral triggers,full,Real-time
blueshift,Segmentation,Dynamic segments,full,CDP segments
blueshift,Analytics,Campaign reports,full,
blueshift,Analytics,Revenue attribution,full,
blueshift,AI Features,Content assistant,full,
blueshift,AI Features,Predictive analytics,full,
blueshift,Lead Scoring,Scoring rules,full,
blueshift,E-commerce,Cart abandonment,full,
blueshift,E-commerce,Product catalog sync,full,
blueshift,Forms & Landing Pages,Form builder,partial,
blueshift,A/B Testing,Email A/B,full,
blueshift,A/B Testing,Multivariate testing,full,
blueshift,Product Recommendations,Recommendations,full,AI recommendations
activecampaign,Email Marketing,Drag-drop editor,full,
activecampaign,Email Marketing,A/B testing,full,
activecampaign,Email Marketing,Personalization,full,
activecampaign,SMS Marketing,Bulk SMS,full,
activecampaign,WhatsApp,WhatsApp campaigns,partial,
activecampaign,Automation,Visual workflow builder,full,Industry-leading
activecampaign,Automation,Behavioral triggers,full,
activecampaign,Segmentation,Dynamic segments,full,
activecampaign,Analytics,Campaign reports,full,
activecampaign,AI Features,Content assistant,full,GPT-powered
activecampaign,Lead Scoring,Scoring rules,full,
activecampaign,E-commerce,Cart abandonment,full,
activecampaign,Forms & Landing Pages,Form builder,full,
activecampaign,A/B Testing,Email A/B,full,
activecampaign,Product Recommendations,Recommendations,partial,
activetrail,Email Marketing,Drag-drop editor,full,
activetrail,Email Marketing,A/B testing,full,
activetrail,Email Marketing,Personalization,partial,
activetrail,SMS Marketing,Bulk SMS,full,
activetrail,Automation,Visual workflow builder,partial,Basic
activetrail,Automation,Behavioral triggers,partial,
activetrail,Segmentation,Dynamic segments,partial,
activetrail,Analytics,Campaign reports,full,
activetrail,AI Features,Content assistant,none,
activetrail,Lead Scoring,Scoring rules,none,
activetrail,E-commerce,Cart abandonment,partial,
activetrail,Forms & Landing Pages,Form builder,partial,
activetrail,A/B Testing,Email A/B,full,
activetrail,Product Recommendations,Recommendations,none,
plezi,Email Marketing,Drag-drop editor,full,
plezi,Email Marketing,A/B testing,full,
plezi,Email Marketing,Personalization,partial,
plezi,Automation,Visual workflow builder,full,B2B inbound
plezi,Automation,Behavioral triggers,full,
plezi,Segmentation,Dynamic segments,full,
plezi,Analytics,Campaign reports,full,
plezi,AI Features,Content assistant,partial,
plezi,Lead Scoring,Scoring rules,full,Core B2B feature
plezi,E-commerce,Cart abandonment,none,B2B focused
plezi,Forms & Landing Pages,Form builder,full,
plezi,A/B Testing,Email A/B,full,
plezi,Product Recommendations,Recommendations,none,
webmecanik,Email Marketing,Drag-drop editor,full,
webmecanik,Email Marketing,A/B testing,full,
webmecanik,Email Marketing,Personalization,full,
webmecanik,SMS Marketing,Bulk SMS,full,
webmecanik,Automation,Visual workflow builder,full,Mautic-based
webmecanik,Automation,Behavioral triggers,full,
webmecanik,Segmentation,Dynamic segments,full,
webmecanik,Analytics,Campaign reports,full,
webmecanik,AI Features,Content assistant,none,
webmecanik,Lead Scoring,Scoring rules,full,
webmecanik,E-commerce,Cart abandonment,partial,
webmecanik,Forms & Landing Pages,Form builder,full,
webmecanik,A/B Testing,Email A/B,full,
webmecanik,Product Recommendations,Recommendations,none,
act-on,Email Marketing,Drag-drop editor,full,
act-on,Email Marketing,A/B testing,full,
act-on,Email Marketing,Personalization,partial,
act-on,SMS Marketing,Bulk SMS,partial,
act-on,Automation,Visual workflow builder,full,
act-on,Automation,Behavioral triggers,full,
act-on,Segmentation,Dynamic segments,full,
act-on,Analytics,Campaign reports,full,
act-on,AI Features,Content assistant,partial,
act-on,Lead Scoring,Scoring rules,full,
act-on,E-commerce,Cart abandonment,partial,
act-on,Forms & Landing Pages,Form builder,full,
act-on,A/B Testing,Email A/B,full,
act-on,Product Recommendations,Recommendations,none,
mailchimp,Email Marketing,Drag-drop editor,full,
mailchimp,Email Marketing,A/B testing,full,
mailchimp,Email Marketing,Personalization,partial,
mailchimp,Automation,Visual workflow builder,partial,Customer journeys
mailchimp,Automation,Behavioral triggers,partial,
mailchimp,Segmentation,Dynamic segments,partial,
mailchimp,Analytics,Campaign reports,full,
mailchimp,AI Features,Content assistant,partial,Intuit AI
mailchimp,Lead Scoring,Scoring rules,none,
mailchimp,E-commerce,Cart abandonment,partial,
mailchimp,Forms & Landing Pages,Form builder,full,
mailchimp,A/B Testing,Email A/B,full,
mailchimp,Product Recommendations,Recommendations,partial,
zeta,Email Marketing,Drag-drop editor,full,
zeta,Email Marketing,A/B testing,full,
zeta,Email Marketing,Personalization,full,AI-powered
zeta,SMS Marketing,Bulk SMS,full,
zeta,Push Notifications,Mobile push,full,
zeta,Automation,Visual workflow builder,full,
zeta,Automation,Behavioral triggers,full,
zeta,Segmentation,Dynamic segments,full,Identity graph
zeta,Analytics,Campaign reports,full,
zeta,Analytics,Revenue attribution,full,
zeta,AI Features,Content assistant,full,
zeta,AI Features,Predictive analytics,full,
zeta,Lead Scoring,Scoring rules,full,
zeta,E-commerce,Cart abandonment,full,
zeta,E-commerce,Product catalog sync,full,
zeta,Forms & Landing Pages,Form builder,full,
zeta,A/B Testing,Email A/B,full,
zeta,A/B Testing,Multivariate testing,full,
zeta,Product Recommendations,Recommendations,full,
getresponse,Email Marketing,Drag-drop editor,full,
getresponse,Email Marketing,A/B testing,full,
getresponse,Email Marketing,Personalization,partial,
getresponse,SMS Marketing,Bulk SMS,partial,
getresponse,Automation,Visual workflow builder,full,
getresponse,Automation,Behavioral triggers,full,
getresponse,Segmentation,Dynamic segments,full,
getresponse,Analytics,Campaign reports,full,
getresponse,AI Features,Content assistant,partial,AI email
getresponse,Lead Scoring,Scoring rules,partial,
getresponse,E-commerce,Cart abandonment,full,
getresponse,Forms & Landing Pages,Form builder,full,
getresponse,A/B Testing,Email A/B,full,
getresponse,Product Recommendations,Recommendations,partial,
ortto,Email Marketing,Drag-drop editor,full,
ortto,Email Marketing,A/B testing,full,
ortto,Email Marketing,Personalization,full,
ortto,SMS Marketing,Bulk SMS,full,
ortto,Automation,Visual workflow builder,full,Intuitive canvas
ortto,Automation,Behavioral triggers,full,
ortto,Segmentation,Dynamic segments,full,
ortto,Analytics,Campaign reports,full,
ortto,AI Features,Content assistant,partial,
ortto,Lead Scoring,Scoring rules,partial,
ortto,E-commerce,Cart abandonment,full,
ortto,Forms & Landing Pages,Form builder,full,
ortto,A/B Testing,Email A/B,full,
ortto,Product Recommendations,Recommendations,partial,
benchmark-email,Email Marketing,Drag-drop editor,full,
benchmark-email,Email Marketing,A/B testing,full,
benchmark-email,Email Marketing,Personalization,partial,
benchmark-email,Automation,Visual workflow builder,none,Autoresponders only
benchmark-email,Automation,Behavioral triggers,none,
benchmark-email,Segmentation,Dynamic segments,partial,
benchmark-email,Analytics,Campaign reports,full,
benchmark-email,AI Features,Content assistant,none,
benchmark-email,Lead Scoring,Scoring rules,none,
benchmark-email,E-commerce,Cart abandonment,none,
benchmark-email,Forms & Landing Pages,Form builder,partial,
benchmark-email,A/B Testing,Email A/B,full,
benchmark-email,Product Recommendations,Recommendations,none,
mapp-cloud,Email Marketing,Drag-drop editor,full,
mapp-cloud,Email Marketing,A/B testing,full,
mapp-cloud,Email Marketing,Personalization,full,
mapp-cloud,SMS Marketing,Bulk SMS,full,
mapp-cloud,Push Notifications,Mobile push,full,
mapp-cloud,Automation,Visual workflow builder,full,
mapp-cloud,Automation,Behavioral triggers,full,
mapp-cloud,Segmentation,Dynamic segments,full,
mapp-cloud,Analytics,Campaign reports,full,
mapp-cloud,Analytics,Revenue attribution,full,
mapp-cloud,AI Features,Content assistant,partial,
mapp-cloud,Lead Scoring,Scoring rules,full,
mapp-cloud,E-commerce,Cart abandonment,full,
mapp-cloud,Forms & Landing Pages,Form builder,full,
mapp-cloud,A/B Testing,Email A/B,full,
mapp-cloud,Product Recommendations,Recommendations,partial,
oracle-responsys,Email Marketing,Drag-drop editor,full,
oracle-responsys,Email Marketing,A/B testing,full,
oracle-responsys,Email Marketing,Personalization,full,
oracle-responsys,SMS Marketing,Bulk SMS,full,
oracle-responsys,Push Notifications,Mobile push,full,
oracle-responsys,Automation,Visual workflow builder,full,Program Designer
oracle-responsys,Automation,Behavioral triggers,full,
oracle-responsys,Segmentation,Dynamic segments,full,High-scale
oracle-responsys,Analytics,Campaign reports,full,
oracle-responsys,AI Features,Content assistant,partial,Oracle AI
oracle-responsys,Lead Scoring,Scoring rules,full,
oracle-responsys,E-commerce,Cart abandonment,full,
oracle-responsys,E-commerce,Product catalog sync,full,
oracle-responsys,Forms & Landing Pages,Form builder,full,
oracle-responsys,A/B Testing,Email A/B,full,
oracle-responsys,Product Recommendations,Recommendations,full,
oracle-eloqua,Email Marketing,Drag-drop editor,full,
oracle-eloqua,Email Marketing,A/B testing,full,
oracle-eloqua,Email Marketing,Personalization,full,
oracle-eloqua,Automation,Visual workflow builder,full,Campaign Canvas
oracle-eloqua,Automation,Behavioral triggers,full,
oracle-eloqua,Segmentation,Dynamic segments,full,
oracle-eloqua,Analytics,Campaign reports,full,
oracle-eloqua,Analytics,B2B analytics,full,
oracle-eloqua,AI Features,Content assistant,partial,Oracle AI
oracle-eloqua,Lead Scoring,Scoring rules,full,Core feature
oracle-eloqua,E-commerce,Cart abandonment,none,B2B focused
oracle-eloqua,Forms & Landing Pages,Form builder,full,
oracle-eloqua,A/B Testing,Email A/B,full,
oracle-eloqua,Product Recommendations,Recommendations,none,
makesbridge,Email Marketing,Drag-drop editor,full,
makesbridge,Email Marketing,A/B testing,partial,
makesbridge,Email Marketing,Personalization,partial,
makesbridge,Automation,Visual workflow builder,partial,
makesbridge,Automation,Behavioral triggers,partial,
makesbridge,Segmentation,Dynamic segments,partial,
makesbridge,Analytics,Campaign reports,full,
makesbridge,AI Features,Content assistant,none,
makesbridge,Lead Scoring,Scoring rules,none,
makesbridge,E-commerce,Cart abandonment,partial,
makesbridge,Forms & Landing Pages,Form builder,full,
makesbridge,A/B Testing,Email A/B,partial,
makesbridge,Product Recommendations,Recommendations,none,
salesmanago,Email Marketing,Drag-drop editor,full,
salesmanago,Email Marketing,A/B testing,full,
salesmanago,Email Marketing,Personalization,full,
salesmanago,SMS Marketing,Bulk SMS,full,
salesmanago,WhatsApp,WhatsApp campaigns,full,
salesmanago,Automation,Visual workflow builder,full,
salesmanago,Automation,Behavioral triggers,full,
salesmanago,Segmentation,Dynamic segments,full,
salesmanago,Analytics,Campaign reports,full,
salesmanago,Analytics,Revenue attribution,full,
salesmanago,AI Features,Content assistant,full,AI copilot
salesmanago,AI Features,Predictive analytics,partial,
salesmanago,Lead Scoring,Scoring rules,full,
salesmanago,E-commerce,Cart abandonment,full,
salesmanago,E-commerce,Product catalog sync,full,
salesmanago,Forms & Landing Pages,Form builder,full,
salesmanago,A/B Testing,Email A/B,full,
salesmanago,Product Recommendations,Recommendations,full,Core e-commerce
iterable,Email Marketing,Drag-drop editor,full,
iterable,Email Marketing,A/B testing,full,
iterable,Email Marketing,Personalization,full,
iterable,SMS Marketing,Bulk SMS,full,
iterable,Push Notifications,Mobile push,full,
iterable,In-App Messaging,In-app messages,full,
iterable,Automation,Visual workflow builder,full,Flexible Studio
iterable,Automation,Behavioral triggers,full,
iterable,Segmentation,Dynamic segments,full,
iterable,Analytics,Campaign reports,full,
iterable,Analytics,Revenue attribution,full,
iterable,AI Features,Content assistant,full,
iterable,AI Features,Predictive analytics,full,
iterable,Lead Scoring,Scoring rules,partial,
iterable,E-commerce,Cart abandonment,full,
iterable,E-commerce,Product catalog sync,full,Catalog
iterable,Forms & Landing Pages,Form builder,partial,
iterable,A/B Testing,Email A/B,full,
iterable,A/B Testing,Multivariate testing,full,
iterable,Product Recommendations,Recommendations,full,Catalog recommendations
sendlane,Email Marketing,Drag-drop editor,full,
sendlane,Email Marketing,A/B testing,full,
sendlane,Email Marketing,Personalization,full,
sendlane,SMS Marketing,Bulk SMS,full,
sendlane,Automation,Visual workflow builder,full,
sendlane,Automation,Behavioral triggers,full,
sendlane,Segmentation,Dynamic segments,full,
sendlane,Analytics,Campaign reports,full,
sendlane,AI Features,Content assistant,partial,
sendlane,Lead Scoring,Scoring rules,none,
sendlane,E-commerce,Cart abandonment,full,Ready workflows
sendlane,E-commerce,Product catalog sync,partial,
sendlane,Forms & Landing Pages,Form builder,partial,
sendlane,A/B Testing,Email A/B,full,
sendlane,Product Recommendations,Recommendations,partial,
klaviyo,Email Marketing,Drag-drop editor,full,
klaviyo,Email Marketing,A/B testing,full,
klaviyo,Email Marketing,Personalization,full,Dynamic content
klaviyo,SMS Marketing,Bulk SMS,full,
klaviyo,SMS Marketing,Two-way SMS,full,
klaviyo,Automation,Visual workflow builder,full,Flows
klaviyo,Automation,Behavioral triggers,full,Real-time
klaviyo,Segmentation,Dynamic segments,full,Very powerful
klaviyo,Analytics,Campaign reports,full,
klaviyo,Analytics,Revenue attribution,full,E-commerce focused
klaviyo,AI Features,Content assistant,full,
klaviyo,AI Features,Predictive analytics,full,
klaviyo,Lead Scoring,Scoring rules,partial,
klaviyo,E-commerce,Cart abandonment,full,
klaviyo,E-commerce,Product catalog sync,full,
klaviyo,Forms & Landing Pages,Form builder,full,
klaviyo,A/B Testing,Email A/B,full,
klaviyo,Product Recommendations,Recommendations,full,Catalog-based
